uuid,kind,name,edition_type,rarity,release_date,series,brand,licensor,tirage,store_price,floor,listings,ath,atl,ath_date,atl_date,image,veve_url,description,season,start_year
sample-0000-582307,Collectible,I'll Take Those Odds,2,RARE,2021-10-01,Ant-Man,Marvel,Disney,500,10,931132.59,6,19757383.34,118.21,2026-07-27,2021-10-02,https://exemple.invalid/i/sample-0000-582307.jpg,https://exemple.invalid/veve/sample-0000-582307,Description de demonstration.,,2021
sample-0001-349842,Collectible,Mrs. Potts & Chip,1,UNCOMMON,2021-11-02,Beauty and the Beast,DC,Warner,1000,20,99873.31,11,636339.65,197.33,2026-07-26,2021-11-10,https://exemple.invalid/i/sample-0001-349842.jpg,https://exemple.invalid/veve/sample-0001-349842,Description de demonstration.,,2021
sample-0002-901332,Collectible,Scarlet Witch & Quicksilver,FE,RARE,2021-12-03,Scarlet Witch & Quicksilver,Marvel,Disney,2500,30,320497.3,87,4907220.64,114.02,2026-07-27,2021-12-03,https://exemple.invalid/i/sample-0002-901332.jpg,https://exemple.invalid/veve/sample-0002-901332,Description de demonstration.,,2021
sample-0003-691459,Collectible,"""It Wasn't Me!""",FA,SECRET_RARE,2021-10-04,Disney Duos Golden Moments,Capcom,Capcom,5000,60,513870.64,127,23651689.63,355.47,2026-07-27,2021-10-02,https://exemple.invalid/i/sample-0003-691459.jpg,https://exemple.invalid/veve/sample-0003-691459,Description de demonstration.,,2021
sample-0004-531147,Comic,ROSÉ Pink Venom 2,3,COMMON,2021-11-05,BLACKPINK ROSÉ Pink Venom Series,Ablaze,Ablaze,10000,100,13737.77,19,15222.12,544.12,2026-07-27,2021-11-12,https://exemple.invalid/i/sample-0004-531147.jpg,https://exemple.invalid/veve/sample-0004-531147,Description de demonstration.,,2021
sample-0005-988773,Comic,Buzz Lightyear – Laser Lock,CE,COMMON,2021-12-06,Buzz Lightyear,Marvel,Disney,500,10,127.45,58,426.93,59.24,2026-07-27,2021-12-25,https://exemple.invalid/i/sample-0005-988773.jpg,https://exemple.invalid/veve/sample-0005-988773,Description de demonstration.,,2021
sample-0006-753070,Comic,No Time To Die — Aston Martin DB5,,COMMON,2021-10-07,NTTD: Aston Martin DB5 - S1,Marvel,Disney,1000,20,526.76,13,1985.57,75.62,2026-07-21,2021-10-08,https://exemple.invalid/i/sample-0006-753070.jpg,https://exemple.invalid/veve/sample-0006-753070,Description de demonstration.,,2021
sample-0007-273142,Comic,Marvel & Disney: What If…? Minnie Became Captain Marvel,3,COMMON,2021-11-08,Marvel & Disney: What If…?,Marvel,Disney,2500,30,3397.94,65,4340.04,198.51,2026-07-27,2021-11-08,https://exemple.invalid/i/sample-0007-273142.jpg,https://exemple.invalid/veve/sample-0007-273142,Description de demonstration.,,2021
sample-0008-878238,Comic,Return of the Jedi #1: Poster Series - Alex Ross Main Cover,3,COMMON,2021-12-09,Return of the Jedi #1: Poster Series,Marvel,Disney,5000,60,484.39,50,1421.78,161.44,2026-07-24,2021-12-08,https://exemple.invalid/i/sample-0008-878238.jpg,https://exemple.invalid/veve/sample-0008-878238,Description de demonstration.,,2021
sample-0009-625073,Comic,Zombie Hunter Spider-Man #1,2,,2021-10-10,Zombie Hunter Spider-Man #1,Marvel,Disney,10000,100,9919.43,1,13485.83,865.23,2026-07-25,2021-10-04,https://exemple.invalid/i/sample-0009-625073.jpg,https://exemple.invalid/veve/sample-0009-625073,Description de demonstration.,,2021
sample-0010-289033,Collectible,Anakin’s Podracer Base,FE,SECRET_RARE,2021-11-11,Star Wars Vehicles Series 6,Marvel,Disney,500,10,22520.32,44,577634.93,89.75,2026-07-27,2021-11-03,https://exemple.invalid/i/sample-0010-289033.jpg,https://exemple.invalid/veve/sample-0010-289033,Description de demonstration.,,2021
sample-0011-945286,Collectible,‍‍Sebulba’s Podracer Base,AP,RARE,2021-12-12,Star Wars Vehicles Series 6,DC,Warner,1000,20,272092.23,45,10148174.09,116.86,2026-07-27,2021-12-03,https://exemple.invalid/i/sample-0011-945286.jpg,https://exemple.invalid/veve/sample-0011-945286,Description de demonstration.,,2021
sample-0012-655859,Collectible,​​Matt,CE,COMMON,2021-10-13,DEADBEATS - Series One,Marvel,Disney,2500,30,5046.81,38,113824.93,107.6,2026-07-27,2021-10-09,https://exemple.invalid/i/sample-0012-655859.jpg,https://exemple.invalid/veve/sample-0012-655859,Description de demonstration.,,2021
sample-0013-40573,Collectible,Altaïr - Crouching,65.DEATHS,ULTRA_RARE,2021-11-14,Assassin’s Creed - Altaïr,Capcom,Capcom,5000,60,18531348.47,29,276649574.4,463.49,2026-07-25,2021-11-04,https://exemple.invalid/i/sample-0013-40573.jpg,https://exemple.invalid/veve/sample-0013-40573,Description de demonstration.,,2021
sample-0014-625868,Comic,The Cimmerian #1 (2020),3,UNCOMMON,2021-12-15,The Cimmerian #1 (2020),Ablaze,Ablaze,10000,100,1456.7,4,5031.18,345.16,2026-07-27,2021-12-08,https://exemple.invalid/i/sample-0014-625868.jpg,https://exemple.invalid/veve/sample-0014-625868,Description de demonstration.,,2021
sample-0015-223608,Comic,Alias #1 (2001),1,UNCOMMON,2021-10-16,Alias #1 (2001),Marvel,Disney,500,10,250.84,68,414.66,45.69,2026-07-27,2021-10-12,https://exemple.invalid/i/sample-0015-223608.jpg,https://exemple.invalid/veve/sample-0015-223608,Description de demonstration.,,2021
sample-0016-809088,Comic,Daredevil #168 (1964),2,UNCOMMON,2021-11-17,Daredevil #168 (1964),Marvel,Disney,1000,20,292.6,78,2269.03,205.31,2026-07-27,2021-11-02,https://exemple.invalid/i/sample-0016-809088.jpg,https://exemple.invalid/veve/sample-0016-809088,Description de demonstration.,,2021
sample-0017-234985,Comic,Avengers vs X-Men #10 (2012),3,UNCOMMON,2021-12-18,Avengers vs X-Men #10 (2012),Marvel,Disney,2500,30,1320.66,26,5955.55,371.04,2026-07-25,2021-12-04,https://exemple.invalid/i/sample-0017-234985.jpg,https://exemple.invalid/veve/sample-0017-234985,Description de demonstration.,,2021
sample-0018-295565,Comic,Return of the Jedi #1: Poster Series - Adi Granov Main Cover,,UNCOMMON,2021-10-19,Return of the Jedi #1: Poster Series,Marvel,Disney,5000,60,7274.25,49,11047.51,729.3,2026-07-24,2021-10-18,https://exemple.invalid/i/sample-0018-295565.jpg,https://exemple.invalid/veve/sample-0018-295565,Description de demonstration.,,2021
sample-0019-22671,Comic,Zombie Hunter Spider-Man #1,AP,,2021-11-20,Zombie Hunter Spider-Man #1,Marvel,Disney,10000,100,3320.65,48,8186.92,435.54,2026-07-25,2021-11-01,https://exemple.invalid/i/sample-0019-22671.jpg,https://exemple.invalid/veve/sample-0019-22671,Description de demonstration.,,2021
sample-0020-494731,Collectible,Spider-Man,65.DEATHS,ULTRA_RARE,2021-12-01,Modern Marvel S1,Marvel,Disney,500,10,2036619.14,17,26616985.25,117.37,2026-07-27,2021-12-04,https://exemple.invalid/i/sample-0020-494731.jpg,https://exemple.invalid/veve/sample-0020-494731,Description de demonstration.,,2021
sample-0021-362902,Collectible,Iron Man Variant,3,UNCOMMON,2021-10-02,DC Classics S2,DC,Warner,1000,20,783759.61,27,76753609.86,178.27,2026-07-26,2021-10-03,https://exemple.invalid/i/sample-0021-362902.jpg,https://exemple.invalid/veve/sample-0021-362902,Description de demonstration.,,2021
sample-0022-122053,Collectible,Batman Gold,1,RARE,2021-11-03,Cosmic Heroes,Marvel,Disney,2500,30,324724.45,12,13563056.64,361.36,2026-07-27,2021-11-03,https://exemple.invalid/i/sample-0022-122053.jpg,https://exemple.invalid/veve/sample-0022-122053,Description de demonstration.,,2021
sample-0023-71282,Collectible,Superman Prime,CE,SECRET_RARE,2021-12-04,Retro Arcade,Capcom,Capcom,5000,60,5139874.45,11,35973787.58,666.42,2026-07-27,2021-12-03,https://exemple.invalid/i/sample-0023-71282.jpg,https://exemple.invalid/veve/sample-0023-71282,Description de demonstration.,,2021
sample-0024-634884,Comic,The Cimmerian #1 (2020),FA,RARE,2021-10-05,The Cimmerian #1 (2020),Ablaze,Ablaze,10000,100,2046.57,60,8025.99,567.97,2026-07-26,2021-10-10,https://exemple.invalid/i/sample-0024-634884.jpg,https://exemple.invalid/veve/sample-0024-634884,Description de demonstration.,,2021
sample-0025-606413,Comic,Alias #1 (2001),CE,RARE,2021-11-06,Alias #1 (2001),Marvel,Disney,500,10,445.08,2,650.74,39.59,2026-07-27,2021-11-02,https://exemple.invalid/i/sample-0025-606413.jpg,https://exemple.invalid/veve/sample-0025-606413,Description de demonstration.,,2021
sample-0026-259066,Comic,Daredevil #168 (1964),65.DEATHS,RARE,2021-12-07,Daredevil #168 (1964),Marvel,Disney,1000,20,2910.83,48,3691.16,187.53,2026-07-27,2021-12-18,https://exemple.invalid/i/sample-0026-259066.jpg,https://exemple.invalid/veve/sample-0026-259066,Description de demonstration.,,2021
sample-0027-348113,Comic,Avengers vs X-Men #10 (2012),2,RARE,2021-10-08,Avengers vs X-Men #10 (2012),Marvel,Disney,2500,30,2533.74,105,5521.65,368.96,2026-07-27,2021-10-10,https://exemple.invalid/i/sample-0027-348113.jpg,https://exemple.invalid/veve/sample-0027-348113,Description de demonstration.,,2021
sample-0028-936839,Comic,Return of the Jedi #1: Poster Series - Bill Sienkiewicz Original Main Cover,FE,COMMON,2021-11-09,Return of the Jedi #1: Poster Series,Marvel,Disney,5000,60,1749.03,34,7350.41,185.54,2026-07-22,2021-11-01,https://exemple.invalid/i/sample-0028-936839.jpg,https://exemple.invalid/veve/sample-0028-936839,Description de demonstration.,,2021
sample-0029-249357,Comic,Zombie Hunter Spider-Man #1,FA,,2021-12-10,Zombie Hunter Spider-Man #1,Marvel,Disney,10000,100,10450.13,21,37200.19,1208.92,2026-07-27,2021-12-11,https://exemple.invalid/i/sample-0029-249357.jpg,https://exemple.invalid/veve/sample-0029-249357,Description de demonstration.,,2021
sample-0030-907750,Collectible,Ryu Gold,3,RARE,2021-10-11,Modern Marvel S1,Marvel,Disney,500,10,5288146.53,68,114696740.72,43.74,2026-07-26,2021-10-04,https://exemple.invalid/i/sample-0030-907750.jpg,https://exemple.invalid/veve/sample-0030-907750,Description de demonstration.,,2021
sample-0031-23496,Collectible,Groot Prime,CE,RARE,2021-11-12,DC Classics S2,DC,Warner,1000,20,188780.19,7,10714785.26,141.46,2026-07-27,2021-11-09,,https://exemple.invalid/veve/sample-0031-23496,Description de demonstration.,,2021
sample-0032-858324,Collectible,Loki,65.DEATHS,COMMON,2021-12-13,Cosmic Heroes,Marvel,Disney,2500,30,1880754.1,57,31481365.16,132.2,2026-07-27,2021-12-01,https://exemple.invalid/i/sample-0032-858324.jpg,https://exemple.invalid/veve/sample-0032-858324,Description de demonstration.,,2021
sample-0033-583632,Collectible,Joker Variant,CE,RARE,2021-10-14,Retro Arcade,Capcom,Capcom,5000,60,15317.29,2,1177643.8,653.08,2026-07-27,2021-10-10,https://exemple.invalid/i/sample-0033-583632.jpg,https://exemple.invalid/veve/sample-0033-583632,Description de demonstration.,,2021
sample-0034-931234,Comic,The Cimmerian #1 (2020),,ULTRA_RARE,2021-11-15,The Cimmerian #1 (2020),Ablaze,Ablaze,10000,100,4754.4,67,17092.35,1111.73,2026-07-27,2021-11-02,https://exemple.invalid/i/sample-0034-931234.jpg,https://exemple.invalid/veve/sample-0034-931234,Description de demonstration.,,2021
sample-0035-94312,Comic,Alias #1 (2001),2,ULTRA_RARE,2021-12-16,Alias #1 (2001),Marvel,Disney,500,10,224.14,8,1148.07,86.05,2026-07-25,2021-12-13,https://exemple.invalid/i/sample-0035-94312.jpg,https://exemple.invalid/veve/sample-0035-94312,Description de demonstration.,,2021
sample-0036-23543,Comic,Daredevil #168 (1964),1,ULTRA_RARE,2021-10-17,Daredevil #168 (1964),Marvel,Disney,1000,20,660.54,23,914.92,91.26,2026-07-27,2021-10-10,,https://exemple.invalid/veve/sample-0036-23543,Description de demonstration.,,2021
sample-0037-671480,Comic,Avengers vs X-Men #10 (2012),FE,ULTRA_RARE,2021-11-18,Avengers vs X-Men #10 (2012),Marvel,Disney,2500,30,989.24,60,3307.85,205.39,2026-07-27,2021-11-14,https://exemple.invalid/i/sample-0037-671480.jpg,https://exemple.invalid/veve/sample-0037-671480,Description de demonstration.,,2021
sample-0038-111473,Comic,Return of the Jedi #1: Poster Series - Todd McFarlane Variant,AP,UNCOMMON,2021-12-19,Return of the Jedi #1: Poster Series,Marvel,Disney,5000,60,1004.31,60,3618.43,312.62,2026-07-27,2021-12-04,https://exemple.invalid/i/sample-0038-111473.jpg,https://exemple.invalid/veve/sample-0038-111473,Description de demonstration.,,2021
sample-0039-210346,Comic,Zombie Hunter Spider-Man #1,3,,2021-10-20,Zombie Hunter Spider-Man #1,Marvel,Disney,10000,100,14515.55,28,18674.61,950.41,2026-07-22,2021-10-10,https://exemple.invalid/i/sample-0039-210346.jpg,https://exemple.invalid/veve/sample-0039-210346,Description de demonstration.,,2021
sample-0040-584585,Collectible,Spider-Man,FE,SECRET_RARE,2021-11-01,Modern Marvel S1,Marvel,Disney,500,10,50076.92,47,8973484.05,41.63,2026-07-27,2021-11-03,https://exemple.invalid/i/sample-0040-584585.jpg,https://exemple.invalid/veve/sample-0040-584585,Description de demonstration.,,2021
sample-0041-80185,Collectible,Iron Man Variant,65.DEATHS,SECRET_RARE,2021-12-02,DC Classics S2,DC,Warner,1000,20,918175.92,36,11960706.18,135.98,2026-07-27,2021-12-03,https://exemple.invalid/i/sample-0041-80185.jpg,https://exemple.invalid/veve/sample-0041-80185,Description de demonstration.,,2021
sample-0042-631778,Collectible,Batman Gold,3,ULTRA_RARE,2021-10-03,Cosmic Heroes,Marvel,Disney,2500,30,4384251.14,3,47510860.91,210.23,2026-07-27,2021-10-04,https://exemple.invalid/i/sample-0042-631778.jpg,https://exemple.invalid/veve/sample-0042-631778,Description de demonstration.,,2021
sample-0043-677167,Collectible,Superman Prime,,COMMON,2021-11-04,Retro Arcade,Capcom,Capcom,5000,60,2194027.45,70,10210088.75,211.68,2026-07-27,2021-11-01,https://exemple.invalid/i/sample-0043-677167.jpg,https://exemple.invalid/veve/sample-0043-677167,Description de demonstration.,,2021
