veve_uuid,name,category,circulating,holders,gini,top1_cnt,top1_pct,top2_cnt,top2_pct,top3_cnt,top3_pct,top4_cnt,top4_pct,top5_cnt,top5_pct,top6_cnt,top6_pct,top7_cnt,top7_pct,top8_cnt,top8_pct,top9_cnt,top9_pct,top10_cnt,top10_pct,qty_dominant,qty_dominant_pct,vstore_dominant,vstore_dominant_pct,vfloor_dominant,vfloor_dominant_pct,score_dominant,score_dominant_pct,activity_dominant,activity_dominant_pct,engagement_dominant,engagement_dominant_pct,avg_collector,avg_activity,act_pers_Actif,act_pers_Engagé,act_pers_Somnolant,act_pers_Inactif,act_pers_Désinscrit,act_pers_Fantôme,act_pers_Non classé,act_sup_Actif,act_sup_Engagé,act_sup_Somnolant,act_sup_Inactif,act_sup_Désinscrit,act_sup_Fantôme,act_sup_Non classé,prof_pers_Diamond-Hands,prof_pers_Serious Collector,prof_pers_Collector,prof_pers_Trader,prof_pers_Flipper,prof_pers_Seasoned Flipper,prof_pers_Aggressive Flipper,prof_pers_Unclassified,prof_sup_Diamond-Hands,prof_sup_Serious Collector,prof_sup_Collector,prof_sup_Trader,prof_sup_Flipper,prof_sup_Seasoned Flipper,prof_sup_Aggressive Flipper,prof_sup_Unclassified,ws_pers_1,ws_pers_2-10,ws_pers_11-50,ws_pers_51-100,ws_pers_101-500,ws_pers_501-1k,ws_pers_1001-5k,ws_pers_5001-10k,ws_pers_10001-50k,ws_pers_50001-100k,ws_pers_100k+,ws_sup_1,ws_sup_2-10,ws_sup_11-50,ws_sup_51-100,ws_sup_101-500,ws_sup_501-1k,ws_sup_1001-5k,ws_sup_5001-10k,ws_sup_10001-50k,ws_sup_50001-100k,ws_sup_100k+,hold_pers_1,hold_pers_2-5,hold_pers_6-10,hold_pers_11-20,hold_pers_21-50,hold_pers_51-100,hold_pers_101-500,hold_pers_500+,hold_sup_1,hold_sup_2-5,hold_sup_6-10,hold_sup_11-20,hold_sup_21-50,hold_sup_51-100,hold_sup_101-500,hold_sup_500+,hm_prof_act,hm_prof_ws,hm_act_ws,drop_distribues,drop_diamant,drop_proxy
00000000-1111-4222-8333-000000000000,Stormtrooper,collectible,4097,2113,0.4919,1195,29.19,631,15.42,205,5.01,400,9.78,327,7.99,258,6.32,224,5.47,169,4.13,172,4.22,82,2.02,2-10,49.06,101-500,54.57,101-500,22.11,Collector,53.04,Actif,35.39,Régulier,44.35,84.35,65.07,30.07,17.89,33.45,22.87,14.8,15.64,16.3,21.5,7.61,28.0,19.15,31.79,23.29,30.53,33.0,29.49,19.58,21.97,11.74,25.81,26.83,6.55,11.67,17.98,3.4,28.65,2.09,14.77,9.25,2.98,8.02,15.0,4.97,16.09,14.1,12.28,11.76,19.37,25.88,0.05,17.1,18.4,21.14,1.27,10.87,9.14,24.02,1.27,4.76,28.51,17.3,15.22,29.9,11.52,3.97,26.16,33.63,5.22,9.26,31.9,28.63,22.06,17.45,33.96,15.26,25.95,14.6,14.06,0.462,0.604,0.98,4097,1363,0
00000001-1111-4222-8333-000000000001,Mirabel Madrigal,collectible,3083,2385,0.6458,322,10.45,729,23.65,547,17.77,386,12.53,194,6.3,192,6.24,151,4.92,132,4.31,73,2.37,37,1.22,2-10,32.82,101-500,33.65,101-500,19.91,Collector,25.73,Actif,47.47,Régulier,40.74,49.05,83.33,1.62,0.03,22.32,30.42,29.17,21.77,15.36,8.74,31.88,22.4,6.76,29.91,25.37,32.96,12.89,14.89,19.61,10.1,10.11,31.6,28.02,30.14,25.59,22.19,1.38,27.85,6.76,21.46,22.04,6.83,24.28,2.71,3.66,25.89,10.98,17.09,21.62,18.29,29.03,27.61,8.8,3.32,16.28,31.67,8.16,26.77,15.47,32.42,1.85,6.82,26.28,33.23,32.3,29.27,9.75,18.23,0.13,15.76,16.79,3.21,6.3,29.72,18.14,22.77,28.87,31.9,32.35,8.08,0.612,0.078,0.241,3083,563,0
00000002-1111-4222-8333-000000000002,Black Panther Ultimate,collectible,3127,722,0.6822,810,25.92,378,12.09,223,7.14,382,12.23,150,4.81,323,10.35,73,2.34,101,3.25,191,6.14,116,3.72,2-10,31.81,101-500,21.09,101-500,46.4,Collector,38.43,Actif,20.36,Régulier,58.65,44.92,78.29,16.42,22.47,3.37,29.34,33.41,0.25,12.18,21.61,18.88,29.72,18.12,11.65,33.87,10.37,21.2,11.01,0.65,19.26,14.45,0.64,28.2,22.77,26.09,16.98,20.99,8.48,16.72,20.72,16.96,16.96,13.69,6.19,6.75,9.32,33.15,5.68,11.27,2.49,11.42,23.56,9.0,32.96,13.26,4.25,29.31,10.7,15.64,28.43,10.84,27.28,2.2,15.67,7.74,31.16,11.66,26.77,24.38,4.81,30.52,24.67,11.98,1.76,32.06,17.92,1.3,12.42,7.26,8.05,0.667,0.597,0.577,3127,1224,0
00000003-1111-4222-8333-000000000003,All-New Captain America #1,comic,12052,4643,0.461,2154,17.88,1184,9.83,1463,12.14,1136,9.43,1543,12.81,909,7.55,596,4.95,275,2.29,430,3.57,613,5.09,2-10,40.69,101-500,53.06,101-500,24.29,Collector,31.34,Actif,53.77,Régulier,56.91,83.95,55.15,16.34,13.67,11.74,13.49,28.84,13.04,12.33,17.68,11.98,24.97,6.13,33.17,33.65,16.74,15.89,21.38,18.08,1.82,30.87,31.12,25.27,32.94,30.73,26.25,8.99,5.85,6.01,7.24,12.8,0.7,16.64,30.35,18.92,24.93,12.01,11.45,6.48,31.33,9.08,8.27,6.07,24.5,25.76,0.45,12.86,8.67,26.57,25.94,23.14,16.69,3.82,27.94,8.85,8.11,1.56,21.91,1.92,27.63,4.19,29.74,2.78,24.16,8.74,28.26,10.57,31.58,28.4,0.29,0.656,0.474,0.471,12052,1341,0
00000004-1111-4222-8333-000000000004,Mulan,collectible,2288,756,0.3714,198,8.66,255,11.16,282,12.34,350,15.31,278,12.16,178,7.78,103,4.51,94,4.13,80,3.52,68,3.01,2-10,37.84,101-500,35.68,101-500,41.42,Collector,52.02,Actif,23.43,Régulier,22.67,50.23,65.33,5.6,28.08,25.19,33.13,19.5,14.67,30.32,32.34,6.15,11.28,0.14,6.56,26.46,15.92,22.17,18.49,12.17,21.75,20.38,2.08,30.83,7.84,33.83,21.93,9.86,12.07,13.84,32.72,16.16,11.21,4.18,26.89,0.69,3.07,8.63,12.89,24.26,19.37,10.52,31.43,23.51,8.69,27.57,28.95,21.65,27.14,16.91,8.86,26.35,28.9,0.74,13.07,18.78,29.18,31.31,17.1,9.42,20.22,11.19,28.02,4.23,15.64,12.91,13.33,33.38,29.03,19.17,22.72,0.608,0.954,0.178,2288,983,1
00000005-1111-4222-8333-000000000005,Diamond Emma Frost,comic,4693,3134,0.8631,628,13.4,844,17.99,439,9.36,275,5.88,557,11.88,495,10.56,266,5.68,309,6.59,131,2.8,85,1.82,2-10,45.59,101-500,22.91,101-500,25.6,Collector,20.82,Actif,61.91,Régulier,43.94,58.97,90.21,21.76,9.64,2.89,6.92,11.1,8.38,31.77,8.7,26.6,15.52,17.35,6.78,9.07,2.15,28.68,24.64,18.08,32.82,5.66,25.4,33.38,22.44,8.61,3.78,31.42,2.76,25.68,0.08,26.97,28.72,26.06,32.23,19.95,20.36,21.41,11.64,27.53,9.88,12.31,2.52,21.7,20.8,8.97,19.57,15.78,13.56,33.44,15.86,11.42,21.72,19.1,5.1,7.37,24.65,7.31,7.69,32.12,6.91,16.61,18.49,4.58,8.1,16.28,18.96,21.99,7.57,5.28,12.69,0.778,0.856,0.354,4693,1516,0
00000006-1111-4222-8333-000000000006,Lumi,collectible,2033,955,0.5483,311,15.34,333,16.41,327,16.13,176,8.68,228,11.25,147,7.26,89,4.39,68,3.38,51,2.51,58,2.9,2-10,52.84,101-500,22.38,101-500,33.36,Collector,40.43,Actif,20.74,Régulier,49.48,55.26,70.88,4.79,18.57,5.42,20.65,7.67,15.28,30.57,31.89,3.27,12.8,28.87,30.8,13.62,16.73,8.01,1.38,13.22,25.81,22.38,29.72,11.73,33.76,16.38,10.0,31.16,19.39,4.36,21.42,24.44,7.23,3.24,2.03,21.69,1.98,25.64,28.74,3.49,11.21,1.48,19.6,21.99,2.53,26.67,28.38,9.98,17.89,1.09,7.57,11.85,17.07,31.92,29.99,13.68,31.9,1.07,9.65,15.08,33.79,31.24,24.75,23.22,9.59,14.52,29.31,31.55,0.67,6.21,5.33,0.799,0.416,0.529,2033,838,1
00000007-1111-4222-8333-000000000007,Groot Captain Marvel,collectible,3213,772,0.5566,554,17.27,482,15.02,292,9.1,155,4.85,174,5.42,128,4.0,134,4.2,202,6.31,271,8.46,149,4.64,2-10,20.32,101-500,46.86,101-500,43.72,Collector,56.04,Actif,23.72,Régulier,20.43,74.88,84.42,15.18,29.66,22.97,23.72,26.22,10.24,11.24,30.08,30.67,27.82,32.07,13.74,30.94,27.51,9.89,28.19,32.03,5.65,10.07,18.64,27.44,15.37,21.54,17.02,22.36,18.74,21.15,11.4,30.93,24.68,23.94,10.68,15.25,24.21,19.25,28.17,23.57,9.6,22.38,6.76,10.13,3.59,1.94,29.1,28.2,26.26,12.27,18.7,3.98,28.09,25.74,17.25,4.64,14.89,0.13,20.21,12.61,12.28,3.15,19.56,16.64,5.39,0.45,21.24,20.58,12.75,33.84,9.73,0.679,0.925,0.729,3213,620,1
00000008-1111-4222-8333-000000000008,Winter Soldier,collectible,2552,472,0.4566,608,23.84,420,16.48,166,6.53,168,6.61,105,4.13,156,6.14,172,6.75,209,8.2,106,4.17,115,4.54,2-10,44.16,101-500,54.89,101-500,25.37,Collector,24.6,Actif,49.58,Régulier,32.31,74.63,58.25,9.16,13.24,11.86,14.55,19.87,1.4,30.59,0.44,17.39,26.72,12.77,14.18,5.8,12.36,12.21,31.8,27.47,17.15,19.7,28.39,33.6,22.12,26.93,10.93,0.65,1.84,19.78,3.04,28.34,16.06,30.5,33.49,22.25,0.48,10.37,19.01,24.53,16.8,10.07,19.74,29.26,8.57,13.59,13.2,18.5,23.0,30.1,23.63,31.35,24.17,32.2,10.11,6.48,10.44,15.96,3.87,23.56,27.35,25.03,5.41,33.67,26.8,24.52,32.53,25.71,25.37,9.02,10.71,0.96,0.736,0.855,2552,917,1
00000009-1111-4222-8333-000000000009,Secret Santa Gold,collectible,14286,6032,0.614,4194,29.36,1047,7.33,895,6.27,930,6.51,845,5.92,1612,11.29,1400,9.8,560,3.92,275,1.93,498,3.49,2-10,56.54,101-500,53.6,101-500,43.92,Collector,50.24,Actif,24.87,Régulier,33.78,53.15,72.99,23.08,13.16,22.72,18.68,6.55,18.8,10.15,11.43,6.81,23.73,30.74,12.77,32.95,13.76,0.9,3.84,3.89,11.68,16.05,6.14,27.99,4.67,10.63,4.04,24.57,19.27,12.79,28.33,5.79,7.89,33.02,8.11,28.21,31.71,9.62,22.69,24.22,13.44,24.71,30.36,6.83,22.31,24.76,7.86,32.34,7.64,21.87,8.07,27.19,20.22,31.68,20.46,23.49,16.6,17.19,7.45,27.41,31.43,29.83,20.56,28.22,1.32,17.11,2.89,0.4,29.56,28.78,9.04,0.656,0.171,0.298,14286,1800,1
