veve_uuid,atl,atl_ts,ath,ath_ts,unite
sample-0000-582307,20.1061,1787339935,203.6963,1788700000,USD
sample-0001-349842,39.4051,1787000000,,,USD
sample-0003-691459,5.2737,1787339935,519.4232,1788700000,USD
sample-0004-531147,22.5756,1787000000,,,USD
sample-0006-753070,4.4219,1787339935,496.0973,1788700000,USD
sample-0007-273142,3.2122,1787000000,,,USD
sample-0009-625073,26.5851,1787339935,137.2814,1788700000,USD
sample-0010-289033,6.3521,1787000000,,,USD
sample-0012-655859,26.0466,1787339935,758.0187,1788700000,USD
sample-0013-40573,8.3043,1787000000,,,USD
sample-0015-223608,14.1711,1787339935,594.4952,1788700000,USD
sample-0016-809088,56.9148,1787000000,,,USD
sample-0018-295565,35.0491,1787339935,405.2780,1788700000,USD
sample-0019-22671,58.5991,1787000000,,,USD
sample-0021-362902,3.7484,1787339935,783.9441,1788700000,USD
sample-0022-122053,18.0869,1787000000,,,USD
sample-0024-634884,9.5110,1787339935,176.5896,1788700000,USD
sample-0025-606413,19.2004,1787000000,,,USD
sample-0027-348113,49.1515,1787339935,228.1956,1788700000,USD
sample-0028-936839,35.3144,1787000000,,,USD
sample-0030-907750,38.6959,1787339935,385.3660,1788700000,USD
sample-0050-596834,33.3169,1787000000,,,USD
sample-0052-2406,4.7045,1787339935,128.8730,1788700000,USD
sample-0053-15409,13.1516,1787000000,,,USD
sample-0055-726445,41.1436,1787339935,430.6257,1788700000,USD
sample-0056-145119,19.5347,1787000000,,,USD
sample-0058-494542,35.5481,1787339935,451.6112,1788700000,USD
sample-0059-153726,18.6863,1787000000,,,USD
sample-0061-143424,47.8684,1787339935,653.1754,1788700000,USD
sample-0062-342290,15.4017,1787000000,,,USD
sample-0064-113744,34.8910,1787339935,510.6611,1788700000,USD
sample-0065-656586,52.6331,1787000000,,,USD
sample-0067-867808,44.0373,1787339935,316.1090,1788700000,USD
sample-0068-838590,58.8303,1787000000,,,USD
sample-0070-277976,7.9659,1787339935,422.8607,1788700000,USD
sample-0071-23598,45.6713,1787000000,,,USD
sample-0073-773026,9.9671,1787339935,480.9497,1788700000,USD
sample-0074-242663,3.3132,1787000000,,,USD
sample-0077-337132,40.4247,1787339935,706.9481,1788700000,USD
