veve_uuid,famille,ts_releve,floor_veve_usd,floor_stackr_omi,in_circulation,editions_burnt,issued,offres_en_cours,market_fee,floor_maj
sample-0000-582307,collectible,1787630342,29.68,250000.0,555,0,555,3,0.02,
sample-0002-901332,collectible,1787630342,5.99,,1111,0,1111,0,0.06,
sample-0004-531147,comic,1787630342,19.0,69999.0,1463,537,2000,5,0.06,2026-08-22
sample-0006-753070,comic,1787630342,,22000.0,5988,12,6000,12,0.02,2026-08-23
sample-0008-878238,comic,1787630342,120.5,1500000.0,0,800,800,0,0.06,2026-08-24
sample-0010-289033,collectible,1787630342,29.68,250000.0,555,0,555,3,0.02,
sample-0012-655859,collectible,1787630342,5.99,,1111,0,1111,0,0.06,
sample-0014-625868,comic,1787630342,19.0,69999.0,1463,537,2000,5,0.06,2026-08-22
sample-0016-809088,comic,1787630342,,22000.0,5988,12,6000,12,0.02,2026-08-23
sample-0018-295565,comic,1787630342,120.5,1500000.0,5904,4096,10000,0,0.06,2026-08-24
sample-0020-494731,collectible,1787630342,29.68,250000.0,555,0,555,3,0.02,
sample-0022-122053,collectible,1787630342,5.99,,1111,0,1111,0,0.06,
sample-0024-634884,comic,1787630342,19.0,69999.0,1463,537,2000,5,0.06,2026-08-22
sample-0026-259066,comic,1787630342,,22000.0,0,800,800,0,0.02,2026-08-23
sample-0028-936839,comic,1787630342,120.5,1500000.0,5904,4096,10000,0,0.06,2026-08-24
sample-0030-907750,collectible,1787630342,29.68,250000.0,555,0,555,3,0.02,
sample-0032-858324,collectible,1787630342,5.99,,1111,0,1111,0,0.06,
sample-0034-931234,comic,1787630342,19.0,69999.0,1463,537,2000,5,0.06,2026-08-22
sample-0036-23543,comic,1787630342,,22000.0,5988,12,6000,12,0.02,2026-08-23
sample-0038-111473,comic,1787630342,120.5,1500000.0,5904,4096,10000,0,0.06,2026-08-24
sample-0040-584585,collectible,1787630342,29.68,250000.0,555,0,555,3,0.02,
sample-0042-631778,collectible,1787630342,5.99,,1111,0,1111,0,0.06,
sample-0044-346374,comic,1787630342,19.0,69999.0,0,800,800,0,0.06,2026-08-22
sample-0046-688914,comic,1787630342,,22000.0,5988,12,6000,12,0.02,2026-08-23
sample-0048-457010,comic,1787630342,120.5,1500000.0,5904,4096,10000,0,0.06,2026-08-24
sample-0050-596834,collectible,1787630342,29.68,250000.0,555,0,555,3,0.02,
sample-0052-2406,collectible,1787630342,5.99,,1111,0,1111,0,0.06,
sample-0054-738250,comic,1787630342,19.0,69999.0,1463,537,2000,5,0.06,2026-08-22
sample-0056-145119,comic,1787630342,,22000.0,5988,12,6000,12,0.02,2026-08-23
sample-0058-494542,comic,1787630342,120.5,1500000.0,5904,4096,10000,0,0.06,2026-08-24
sample-0060-819385,collectible,1787630342,29.68,250000.0,555,0,555,3,0.02,
sample-0062-342290,collectible,1787630342,5.99,,0,800,800,0,0.06,
sample-0064-113744,comic,1787630342,19.0,69999.0,1463,537,2000,5,0.06,2026-08-22
sample-0066-145027,comic,1787630342,,22000.0,5988,12,6000,12,0.02,2026-08-23
sample-0068-838590,comic,1787630342,120.5,1500000.0,5904,4096,10000,0,0.06,2026-08-24
sample-0070-277976,collectible,1787630342,29.68,250000.0,555,0,555,3,0.02,
sample-0072-836935,collectible,1787630342,5.99,,1111,0,1111,0,0.06,
sample-0074-242663,comic,1787630342,19.0,69999.0,1463,537,2000,5,0.06,2026-08-22
sample-0076-349027,comic,1787630342,,22000.0,5988,12,6000,12,0.02,2026-08-23
sample-0078-63899,comic,1787630342,120.5,1500000.0,5904,4096,10000,0,0.06,2026-08-24
sample-0080-582506,collectible,1787630342,29.68,250000.0,0,800,800,0,0.02,
sample-0082-817975,collectible,1787630342,5.99,,1111,0,1111,0,0.06,
sample-0084-438885,comic,1787630342,19.0,69999.0,1463,537,2000,5,0.06,2026-08-22
sample-0086-171625,comic,1787630342,,22000.0,5988,12,6000,12,0.02,2026-08-23
sample-0088-125940,comic,1787630342,120.5,1500000.0,5904,4096,10000,0,0.06,2026-08-24
