veve_uuid,floor_min,p5,p25,p50,p75,p95,floor_max,n_points,last_floor,last_listings
sample-0000-582307,118.21,226.06,320.98,478.6,592.8,1295.74,1801.67,146,531.6,65
sample-0001-161636,235.81,1326.13,2132.07,2703.4,4218.49,5586.2,6796.38,144,2197.95,2
sample-0002-200950,234.7,413.53,489.31,530.11,660.28,831.81,1081.15,118,709.79,3
sample-0003-982811,263,1113.31,1655.38,1947.04,2226.66,3391.64,4370.59,120,2328.72,37
sample-0004-79182,817.9,1860.58,2864.51,3486.1,4455.43,6055.05,6625.98,125,4455.43,31
sample-0005-390541,80.15,333.41,601.81,697.16,764.15,946.1,1200.87,129,554.93,4
sample-0006-32750,54.33,145.45,174.6,209.01,256.29,304.42,462.74,129,234.56,5
sample-0007-867333,75.34,261.24,322.96,477.03,731.09,1266.39,1489.88,125,1427.55,59
sample-0008-499490,477.86,721.09,917.76,1296.9,2023.09,4483.84,5575.38,127,1471.08,69
sample-0009-49086,260.21,356.19,446.3,513.97,597.34,1038.02,1380.29,135,582.32,39
sample-0010-594059,57.15,80.14,111.67,212.73,324.27,787,1338.4,147,95.42,16
sample-0011-421680,200.62,1058.25,1955.49,2217.21,2837.24,3582.04,5255.26,147,1994.44,49
sample-0012-756748,118.12,382.95,498.34,583.78,650.73,766.2,856.15,144,444.76,45
sample-0013-253097,156.16,167.36,203.08,285.86,360.83,892.68,1061.39,139,228.86,33
sample-0014-910018,374.58,1813.6,3319.84,4068.23,7528.3,9003.65,10136.97,149,7796.03,64
sample-0015-850671,88.97,484.94,793.79,910.4,1047.34,1289.42,1830.72,156,1070.01,54
sample-0016-732259,146.66,303.68,402.87,444.69,506.17,662.15,798.54,135,567.67,1
sample-0017-144913,293.97,555.9,727.82,1415.63,2085.58,2784.95,3267,146,2800.35,13
sample-0018-321336,722.37,2710.1,3591.52,4325.74,5329.64,12081.69,17680.89,137,5373.58,32
sample-0019-490137,918.41,2814.32,9034.81,9931.76,11499.58,14106.94,17781.99,139,8664.03,69
sample-0020-445566,29.07,51.09,61.38,71.07,84.83,194.91,274.64,135,94.4,33
sample-0021-169483,128.73,195.24,219.9,287.68,546.45,1736.13,2787.82,148,215.01,66
sample-0022-288845,237.41,938.36,1418.94,1620.27,2263.69,2870.77,3813.11,120,2839.7,1
sample-0023-397873,720.91,1265.98,1490.62,1624.32,2290.34,5988.55,8263.03,139,2417.03,31
sample-0024-43643,340.93,750.4,1102.03,1349.04,1840.89,2207.33,2473.22,119,1117.42,46
sample-0025-714513,72.31,201.37,245.43,276.28,331.43,601.28,882.39,132,430.41,37
sample-0026-52162,229.3,606.06,834.86,1006.19,1197.4,2402.5,3697.22,130,1006.95,49
sample-0027-991971,122.62,596.04,2337.67,3192.94,4450.72,5207,5594.64,138,4955.52,25
sample-0028-76658,538.39,575.91,635.83,835.4,1063.65,3203.77,4982.1,147,1234.78,45
sample-0029-810809,313.46,1413.06,2329.23,2773.61,3350.53,4534.16,6518.49,135,3494.73,15
sample-0030-833403,54.04,206.13,711.91,870.24,977.66,1135.34,1220.57,130,822.6,55
sample-0031-913528,53.48,200.57,442.6,573.06,647.16,800.16,913.12,139,687.03,53
sample-0032-418532,214.3,786.12,1671.94,2489.51,3034.95,3683.2,4314.53,128,3974.96,22
sample-0033-86228,458.38,522.44,639.62,782.08,887.84,2475.36,3852.29,148,865.5,29
sample-0034-952874,958.21,2785.2,4247.41,5003.74,5984.14,7541.55,8978.33,136,6489.7,99
sample-0035-546135,28.06,30.89,36.68,43.59,57.4,155.53,239.54,129,33.77,8
sample-0036-528342,169.27,1028.23,1267.17,1437.01,1984.82,2633.23,4076.46,156,2225.46,43
sample-0037-757810,264.02,1959.85,6067.38,7826.75,9396.67,11173.79,11846.62,160,8438,57
sample-0038-694345,462.5,1997.84,9600.05,11677.41,12948.99,14924.7,15894.44,127,14125.24,49
sample-0039-414990,796.92,3804.57,6552.89,8120.11,10854.33,14649.19,16710.48,147,13708.23,20
