bloc,ligne,colonne,wallets
total,,,1000
score,Diamond-Hands,,160
score,Serious Collector,,40
score,Collector,,50
score,Trader,,50
score,Flipper,,140
score,Seasoned Flipper,,50
score,Aggressive Flipper,,20
score,Unclassified,,0
score,n/a,,490
profil_activite,Diamond-Hands,Actif,10
profil_activite,Diamond-Hands,Engagé,40
profil_activite,Diamond-Hands,Somnolant,51
profil_activite,Diamond-Hands,Inactif,38
profil_activite,Diamond-Hands,Désinscrit,5
profil_activite,Diamond-Hands,Fantôme,14
profil_activite,Diamond-Hands,Non classé,2
profil_activite,Serious Collector,Actif,5
profil_activite,Serious Collector,Engagé,2
profil_activite,Serious Collector,Somnolant,2
profil_activite,Serious Collector,Inactif,12
profil_activite,Serious Collector,Désinscrit,7
profil_activite,Serious Collector,Fantôme,8
profil_activite,Serious Collector,Non classé,4
profil_activite,Collector,Actif,5
profil_activite,Collector,Engagé,1
profil_activite,Collector,Somnolant,11
profil_activite,Collector,Inactif,17
profil_activite,Collector,Désinscrit,1
profil_activite,Collector,Fantôme,8
profil_activite,Collector,Non classé,7
profil_activite,Trader,Actif,9
profil_activite,Trader,Engagé,4
profil_activite,Trader,Somnolant,8
profil_activite,Trader,Inactif,13
profil_activite,Trader,Désinscrit,2
profil_activite,Trader,Fantôme,6
profil_activite,Trader,Non classé,8
profil_activite,Flipper,Actif,5
profil_activite,Flipper,Engagé,24
profil_activite,Flipper,Somnolant,15
profil_activite,Flipper,Inactif,35
profil_activite,Flipper,Désinscrit,30
profil_activite,Flipper,Fantôme,23
profil_activite,Flipper,Non classé,8
profil_activite,Seasoned Flipper,Actif,18
profil_activite,Seasoned Flipper,Engagé,7
profil_activite,Seasoned Flipper,Somnolant,1
profil_activite,Seasoned Flipper,Inactif,10
profil_activite,Seasoned Flipper,Désinscrit,6
profil_activite,Seasoned Flipper,Fantôme,6
profil_activite,Seasoned Flipper,Non classé,2
profil_activite,Aggressive Flipper,Actif,3
profil_activite,Aggressive Flipper,Engagé,0
profil_activite,Aggressive Flipper,Somnolant,2
profil_activite,Aggressive Flipper,Inactif,0
profil_activite,Aggressive Flipper,Désinscrit,4
profil_activite,Aggressive Flipper,Fantôme,7
profil_activite,Aggressive Flipper,Non classé,4
profil_activite,Unclassified,Actif,0
profil_activite,Unclassified,Engagé,0
profil_activite,Unclassified,Somnolant,0
profil_activite,Unclassified,Inactif,0
profil_activite,Unclassified,Désinscrit,0
profil_activite,Unclassified,Fantôme,0
profil_activite,Unclassified,Non classé,0
profil_activite,n/a,Actif,98
profil_activite,n/a,Engagé,13
profil_activite,n/a,Somnolant,110
profil_activite,n/a,Inactif,75
profil_activite,n/a,Désinscrit,64
profil_activite,n/a,Fantôme,57
profil_activite,n/a,Non classé,73
profil_taille,Diamond-Hands,1,26
profil_taille,Diamond-Hands,2-10,37
profil_taille,Diamond-Hands,11-50,11
profil_taille,Diamond-Hands,51-100,3
profil_taille,Diamond-Hands,101-500,27
profil_taille,Diamond-Hands,501-1k,4
profil_taille,Diamond-Hands,1001-5k,19
profil_taille,Diamond-Hands,5001-10k,11
profil_taille,Diamond-Hands,10001-50k,9
profil_taille,Diamond-Hands,50001-100k,5
profil_taille,Diamond-Hands,100k+,8
profil_taille,Serious Collector,1,15
profil_taille,Serious Collector,2-10,2
profil_taille,Serious Collector,11-50,0
profil_taille,Serious Collector,51-100,3
profil_taille,Serious Collector,101-500,2
profil_taille,Serious Collector,501-1k,0
profil_taille,Serious Collector,1001-5k,4
profil_taille,Serious Collector,5001-10k,5
profil_taille,Serious Collector,10001-50k,5
profil_taille,Serious Collector,50001-100k,1
profil_taille,Serious Collector,100k+,3
profil_taille,Collector,1,14
profil_taille,Collector,2-10,0
profil_taille,Collector,11-50,0
profil_taille,Collector,51-100,4
profil_taille,Collector,101-500,3
profil_taille,Collector,501-1k,6
profil_taille,Collector,1001-5k,1
profil_taille,Collector,5001-10k,4
profil_taille,Collector,10001-50k,5
profil_taille,Collector,50001-100k,7
profil_taille,Collector,100k+,6
profil_taille,Trader,1,12
profil_taille,Trader,2-10,4
profil_taille,Trader,11-50,1
profil_taille,Trader,51-100,6
profil_taille,Trader,101-500,2
profil_taille,Trader,501-1k,4
profil_taille,Trader,1001-5k,7
profil_taille,Trader,5001-10k,3
profil_taille,Trader,10001-50k,5
profil_taille,Trader,50001-100k,2
profil_taille,Trader,100k+,4
profil_taille,Flipper,1,1
profil_taille,Flipper,2-10,20
profil_taille,Flipper,11-50,2
profil_taille,Flipper,51-100,12
profil_taille,Flipper,101-500,12
profil_taille,Flipper,501-1k,19
profil_taille,Flipper,1001-5k,12
profil_taille,Flipper,5001-10k,16
profil_taille,Flipper,10001-50k,12
profil_taille,Flipper,50001-100k,28
profil_taille,Flipper,100k+,6
profil_taille,Seasoned Flipper,1,6
profil_taille,Seasoned Flipper,2-10,0
profil_taille,Seasoned Flipper,11-50,0
profil_taille,Seasoned Flipper,51-100,2
profil_taille,Seasoned Flipper,101-500,1
profil_taille,Seasoned Flipper,501-1k,15
profil_taille,Seasoned Flipper,1001-5k,8
profil_taille,Seasoned Flipper,5001-10k,3
profil_taille,Seasoned Flipper,10001-50k,8
profil_taille,Seasoned Flipper,50001-100k,5
profil_taille,Seasoned Flipper,100k+,2
profil_taille,Aggressive Flipper,1,0
profil_taille,Aggressive Flipper,2-10,1
profil_taille,Aggressive Flipper,11-50,1
profil_taille,Aggressive Flipper,51-100,8
profil_taille,Aggressive Flipper,101-500,2
profil_taille,Aggressive Flipper,501-1k,3
profil_taille,Aggressive Flipper,1001-5k,2
profil_taille,Aggressive Flipper,5001-10k,1
profil_taille,Aggressive Flipper,10001-50k,1
profil_taille,Aggressive Flipper,50001-100k,1
profil_taille,Aggressive Flipper,100k+,0
profil_taille,Unclassified,1,0
profil_taille,Unclassified,2-10,0
profil_taille,Unclassified,11-50,0
profil_taille,Unclassified,51-100,0
profil_taille,Unclassified,101-500,0
profil_taille,Unclassified,501-1k,0
profil_taille,Unclassified,1001-5k,0
profil_taille,Unclassified,5001-10k,0
profil_taille,Unclassified,10001-50k,0
profil_taille,Unclassified,50001-100k,0
profil_taille,Unclassified,100k+,0
profil_taille,n/a,1,87
profil_taille,n/a,2-10,20
profil_taille,n/a,11-50,47
profil_taille,n/a,51-100,44
profil_taille,n/a,101-500,43
profil_taille,n/a,501-1k,27
profil_taille,n/a,1001-5k,22
profil_taille,n/a,5001-10k,60
profil_taille,n/a,10001-50k,81
profil_taille,n/a,50001-100k,18
profil_taille,n/a,100k+,41
activite_taille,Actif,1,19
activite_taille,Actif,2-10,14
activite_taille,Actif,11-50,26
activite_taille,Actif,51-100,5
activite_taille,Actif,101-500,8
activite_taille,Actif,501-1k,8
activite_taille,Actif,1001-5k,15
activite_taille,Actif,5001-10k,12
activite_taille,Actif,10001-50k,11
activite_taille,Actif,50001-100k,16
activite_taille,Actif,100k+,19
activite_taille,Engagé,1,4
activite_taille,Engagé,2-10,0
activite_taille,Engagé,11-50,5
activite_taille,Engagé,51-100,19
activite_taille,Engagé,101-500,10
activite_taille,Engagé,501-1k,12
activite_taille,Engagé,1001-5k,6
activite_taille,Engagé,5001-10k,5
activite_taille,Engagé,10001-50k,10
activite_taille,Engagé,50001-100k,8
activite_taille,Engagé,100k+,12
activite_taille,Somnolant,1,22
activite_taille,Somnolant,2-10,9
activite_taille,Somnolant,11-50,3
activite_taille,Somnolant,51-100,28
activite_taille,Somnolant,101-500,4
activite_taille,Somnolant,501-1k,35
activite_taille,Somnolant,1001-5k,28
activite_taille,Somnolant,5001-10k,20
activite_taille,Somnolant,10001-50k,20
activite_taille,Somnolant,50001-100k,29
activite_taille,Somnolant,100k+,2
activite_taille,Inactif,1,4
activite_taille,Inactif,2-10,27
activite_taille,Inactif,11-50,2
activite_taille,Inactif,51-100,35
activite_taille,Inactif,101-500,19
activite_taille,Inactif,501-1k,3
activite_taille,Inactif,1001-5k,13
activite_taille,Inactif,5001-10k,23
activite_taille,Inactif,10001-50k,16
activite_taille,Inactif,50001-100k,30
activite_taille,Inactif,100k+,28
activite_taille,Désinscrit,1,4
activite_taille,Désinscrit,2-10,9
activite_taille,Désinscrit,11-50,23
activite_taille,Désinscrit,51-100,9
activite_taille,Désinscrit,101-500,10
activite_taille,Désinscrit,501-1k,14
activite_taille,Désinscrit,1001-5k,14
activite_taille,Désinscrit,5001-10k,8
activite_taille,Désinscrit,10001-50k,13
activite_taille,Désinscrit,50001-100k,10
activite_taille,Désinscrit,100k+,5
activite_taille,Fantôme,1,13
activite_taille,Fantôme,2-10,16
activite_taille,Fantôme,11-50,15
activite_taille,Fantôme,51-100,8
activite_taille,Fantôme,101-500,12
activite_taille,Fantôme,501-1k,3
activite_taille,Fantôme,1001-5k,9
activite_taille,Fantôme,5001-10k,4
activite_taille,Fantôme,10001-50k,25
activite_taille,Fantôme,50001-100k,6
activite_taille,Fantôme,100k+,18
activite_taille,Non classé,1,11
activite_taille,Non classé,2-10,8
activite_taille,Non classé,11-50,14
activite_taille,Non classé,51-100,12
activite_taille,Non classé,101-500,14
activite_taille,Non classé,501-1k,22
activite_taille,Non classé,1001-5k,8
activite_taille,Non classé,5001-10k,7
activite_taille,Non classé,10001-50k,2
activite_taille,Non classé,50001-100k,8
activite_taille,Non classé,100k+,2
