month,actifs,nouveaux,trades,acheteurs,vendeurs,tokens_emis,tokens_airdrop,minters_uniques,drops,burns,listings,acc_net_moy,acc_net_pos,acc_net_neg,churn_pct,drops_vevecomics,anciens,og_actifs,og_pct,listeurs,revenue_drop
2024-01,12037,911,4223,3109,2807,15051,2013,643,6,121,8931,1.43,2105,1704,3.15,3,412,5208,41.3,2606,180900
2024-02,12074,922,4246,3118,2814,15102,2026,646,6,122,8962,1.46,2110,1708,3.2,3,414,5216,41.4,2612,181800
2024-03,12111,933,4269,3127,2821,15153,2039,649,6,123,8993,1.49,2115,1712,3.25,3,416,5224,41.5,2618,182700
2024-04,12148,944,4292,3136,2828,15204,2052,652,6,124,9024,1.52,2120,1716,3.3,3,418,5232,41.6,2624,183600
2024-05,12185,955,4315,3145,2835,15255,2065,655,6,125,9055,1.55,2125,1720,3.35,3,420,5240,41.7,2630,184500
2024-06,12222,966,4338,3154,2842,15306,2078,658,6,126,9086,1.58,2130,1724,3.4,3,422,5248,41.8,2636,185400
2024-07,12259,977,4361,3163,2849,15357,2091,661,6,127,9117,1.61,2135,1728,3.45,3,424,5256,41.9,2642,186300
2024-08,12296,988,4384,3172,2856,15408,2104,664,6,128,9148,1.64,2140,1732,3.5,3,426,5264,42.0,2648,187200
2024-09,12333,999,4407,3181,2863,15459,2117,667,6,129,9179,1.67,2145,1736,3.55,3,428,5272,42.1,2654,188100
2024-10,12370,1010,4430,3190,2870,15510,2130,670,6,130,9210,1.7,2150,1740,3.6,3,430,5280,42.2,2660,189000
2024-11,12407,1021,4453,3199,2877,15561,2143,673,6,131,9241,1.73,2155,1744,3.65,3,432,5288,42.3,2666,189900
2024-12,12444,1032,4476,3208,2884,15612,2156,676,6,132,9272,1.76,2160,1748,3.7,3,434,5296,42.4,2672,190800
2024,146886,11658,52194,37902,34146,183978,25014,7914,72,1518,109218,1.59,25590,20712,3.43,3.0,5076,63024,41.85,31668,2230200
2025-01,12037,911,4223,3109,2807,15051,2013,643,6,121,8931,1.43,2105,1704,3.15,3,412,5208,41.3,2606,180900
2025-02,12074,922,4246,3118,2814,15102,2026,646,6,122,8962,1.46,2110,1708,3.2,3,414,5216,41.4,2612,181800
2025-03,12111,933,4269,3127,2821,15153,2039,649,6,123,8993,1.49,2115,1712,3.25,3,416,5224,41.5,2618,182700
2025-04,12148,944,4292,3136,2828,15204,2052,652,6,124,9024,1.52,2120,1716,3.3,3,418,5232,41.6,2624,183600
2025-05,12185,955,4315,3145,2835,15255,2065,655,6,125,9055,1.55,2125,1720,3.35,3,420,5240,41.7,2630,184500
2025-06,12222,966,4338,3154,2842,15306,2078,658,6,126,9086,1.58,2130,1724,3.4,3,422,5248,41.8,2636,185400
2025-07,12259,977,4361,3163,2849,15357,2091,661,6,127,9117,1.61,2135,1728,3.45,3,424,5256,41.9,2642,186300
2025-08,12296,988,4384,3172,2856,15408,2104,664,6,128,9148,1.64,2140,1732,3.5,3,426,5264,42.0,2648,187200
2025-09,12333,999,4407,3181,2863,15459,2117,667,6,129,9179,1.67,2145,1736,3.55,3,428,5272,42.1,2654,188100
2025-10,12370,1010,4430,3190,2870,15510,2130,670,6,130,9210,1.7,2150,1740,3.6,3,430,5280,42.2,2660,189000
2025-11,12407,1021,4453,3199,2877,15561,2143,673,6,131,9241,1.73,2155,1744,3.65,3,432,5288,42.3,2666,189900
2025-12,12444,1032,4476,3208,2884,15612,2156,676,6,132,9272,1.76,2160,1748,3.7,3,434,5296,42.4,2672,190800
2025,146886,11658,52194,37902,34146,183978,25014,7914,72,1518,109218,1.59,25590,20712,3.43,3.0,5076,63024,41.85,31668,2230200
