veve_uuid,ts_releve,source,floor,unite
sample-0000-582307,1786525683,stackr,3000.0,OMI
sample-0001-349842,1786378803,stackr,4000.0,OMI
sample-0002-901332,1786231923,stackr,5000.0,OMI
sample-0003-691459,1786085043,stackr,6000.0,OMI
sample-0004-531147,1785938163,stackr,7000.0,OMI
sample-0005-988773,1785791283,stackr,8000.0,OMI
sample-0006-753070,1785644404,stackr,9000.0,OMI
sample-0007-273142,1785497523,stackr,10000.0,OMI
sample-0008-878238,1785350643,stackr,11000.0,OMI
sample-0009-625073,1785203764,stackr,12000.0,OMI
sample-0010-289033,1785056883,stackr,13000.0,OMI
sample-0011-945286,1784910003,stackr,14000.0,OMI
sample-0012-655859,1784763124,stackr,15000.0,OMI
sample-0013-40573,1784616244,stackr,16000.0,OMI
sample-0014-625868,1784469363,stackr,17000.0,OMI
sample-0015-223608,1784322483,stackr,18000.0,OMI
sample-0016-809088,1784175603,stackr,19000.0,OMI
sample-0017-234985,1784028723,stackr,20000.0,OMI
sample-0018-295565,1783881843,stackr,21000.0,OMI
sample-0019-22671,1783734964,stackr,22000.0,OMI
sample-0020-494731,1783588083,stackr,23000.0,OMI
sample-0021-362902,1783441204,stackr,24000.0,OMI
sample-0022-122053,1783294323,stackr,25000.0,OMI
sample-0023-71282,1783147443,stackr,26000.0,OMI
sample-0024-634884,1783000564,stackr,27000.0,OMI
sample-0025-606413,1782853683,stackr,28000.0,OMI
sample-0026-259066,1782706804,stackr,29000.0,OMI
sample-0027-348113,1782559923,stackr,30000.0,OMI
sample-0028-936839,1782413043,stackr,31000.0,OMI
sample-0029-249357,1782266163,stackr,32000.0,OMI
sample-0030-907750,1786594803,veve,2.75,USD
sample-0031-23496,1786594803,veve,3.75,USD
sample-0032-858324,1786594803,veve,4.75,USD
sample-0033-583632,1786594803,veve,5.75,USD
sample-0034-931234,1786594803,veve,6.75,USD
sample-0035-94312,1786594803,veve,7.75,USD
sample-0036-23543,1786594803,veve,8.75,USD
sample-0037-671480,1786594803,veve,9.75,USD
sample-0038-111473,1786594803,veve,10.75,USD
sample-0039-210346,1786594803,veve,11.75,USD
sample-0040-584585,1786594803,veve,12.75,USD
sample-0041-80185,1786594803,veve,13.75,USD
sample-0042-631778,1786594803,veve,14.75,USD
sample-0043-677167,1786594803,veve,15.75,USD
sample-0044-346374,1786594803,veve,16.75,USD
sample-0045-740993,1786594803,veve,17.75,USD
sample-0046-688914,1786594803,veve,18.75,USD
sample-0047-866233,1786594803,veve,19.75,USD
sample-0048-457010,1786594803,veve,20.75,USD
sample-0049-319072,1786594803,veve,21.75,USD
sample-0050-596834,1786180083,stackr,23000.0,OMI
sample-0050-596834,1786594803,veve,3.10,USD
sample-0051-152125,1786093683,stackr,24000.0,OMI
sample-0051-152125,1786594803,veve,4.10,USD
sample-0052-2406,1786007283,stackr,25000.0,OMI
sample-0052-2406,1786594803,veve,5.10,USD
sample-0053-15409,1785920883,stackr,26000.0,OMI
sample-0053-15409,1786594803,veve,6.10,USD
sample-0054-738250,1785834483,stackr,27000.0,OMI
sample-0054-738250,1786594803,veve,7.10,USD
sample-0055-726445,1785748083,stackr,28000.0,OMI
sample-0055-726445,1786594803,veve,8.10,USD
sample-0056-145119,1785661683,stackr,29000.0,OMI
sample-0056-145119,1786594803,veve,9.10,USD
sample-0057-137110,1785575283,stackr,30000.0,OMI
sample-0057-137110,1786594803,veve,10.10,USD
sample-0058-494542,1785488883,stackr,31000.0,OMI
sample-0058-494542,1786594803,veve,11.10,USD
sample-0059-153726,1785402483,stackr,32000.0,OMI
sample-0059-153726,1786594803,veve,12.10,USD
sample-0060-819385,1785316083,stackr,33000.0,OMI
sample-0060-819385,1786594803,veve,13.10,USD
sample-0061-143424,1785229683,stackr,34000.0,OMI
sample-0061-143424,1786594803,veve,14.10,USD
sample-0062-342290,1785143283,stackr,35000.0,OMI
sample-0062-342290,1786594803,veve,15.10,USD
sample-0063-533718,1785056883,stackr,36000.0,OMI
sample-0063-533718,1786594803,veve,16.10,USD
sample-0064-113744,1784970483,stackr,37000.0,OMI
sample-0064-113744,1786594803,veve,17.10,USD
sample-0065-656586,1784884083,stackr,38000.0,OMI
sample-0065-656586,1786594803,veve,18.10,USD
sample-0066-145027,1784797683,stackr,39000.0,OMI
sample-0066-145027,1786594803,veve,19.10,USD
sample-0067-867808,1784711283,stackr,40000.0,OMI
sample-0067-867808,1786594803,veve,20.10,USD
sample-0068-838590,1784624883,stackr,41000.0,OMI
sample-0068-838590,1786594803,veve,21.10,USD
sample-0069-688914,1784538483,stackr,42000.0,OMI
sample-0069-688914,1786594803,veve,22.10,USD
sample-0070-277976,1784020083,veve,1.99,USD
sample-0070-277976,1786603443,stackr,5000.0,OMI
sample-0071-23598,1783933683,veve,2.99,USD
sample-0071-23598,1786603443,stackr,5250.0,OMI
sample-0072-836935,1783847283,veve,3.99,USD
sample-0072-836935,1786603443,stackr,5500.0,OMI
sample-0073-773026,1783760883,veve,4.99,USD
sample-0073-773026,1786603443,stackr,5750.0,OMI
sample-0074-242663,1783674483,veve,5.99,USD
sample-0074-242663,1786603443,stackr,6000.0,OMI
sample-0075-817039,0,stackr,1500.0,OMI
sample-0076-349027,,veve,4.20,USD
sample-0077-337132,nan,stackr,800.0,OMI
sample-9999-000000,1786612083,veve,9.99,USD
