block,log_index,ts_utc,date_pt,kind,category,veve_uuid,edition,from,to,token_id
75335553,0,2026-09-07 07:00:30,2026-09-07,mint,Comic,sample-0029-249357,10,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000064,13684291
75335554,1,2026-09-07 07:01:30,2026-09-07,mint,Comic,sample-0047-866233,11,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000065,13684292
75335555,2,2026-09-07 07:02:30,2026-09-07,mint,Comic,sample-0048-457010,12,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000066,13684293
75335556,3,2026-09-07 07:03:30,2026-09-07,mint,Comic,sample-0016-809088,13,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000067,13684294
75335557,4,2026-09-07 07:04:30,2026-09-07,mint,Comic,sample-0024-634884,14,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000068,13684295
75335558,5,2026-09-07 07:05:30,2026-09-07,mint,Comic,sample-0005-988773,15,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000069,13684296
75335603,0,2026-09-07 10:12:00,2026-09-07,market,Collectible,sample-0010-289033,200,0x00000000000000000000000000000000000000c8,0x000000000000000000000000000000000000012c,13641307
75335604,1,2026-09-07 11:12:00,2026-09-07,listing,Comic,sample-0017-234985,201,0x00000000000000000000000000000000000000c9,0x000000000000000000000000000000000000012d,13641308
75335605,2,2026-09-07 12:12:00,2026-09-07,market,Collectible,sample-0031-23496,202,0x00000000000000000000000000000000000000ca,0x000000000000000000000000000000000000012e,13641309
75335606,3,2026-09-07 13:12:00,2026-09-07,system_transfer,Comic,sample-0064-113744,203,0x00000000000000000000000000000000000000cb,0x000000000000000000000000000000000000012f,13641310
75335607,4,2026-09-07 14:12:00,2026-09-07,market,Comic,sample-0026-259066,204,0x00000000000000000000000000000000000000cc,0x0000000000000000000000000000000000000130,13641311
75335608,5,2026-09-07 15:12:00,2026-09-07,listing,Collectible,sample-0051-152125,205,0x00000000000000000000000000000000000000cd,0x0000000000000000000000000000000000000131,13641312
75335609,6,2026-09-07 16:12:00,2026-09-07,market,Collectible,sample-0082-817975,206,0x00000000000000000000000000000000000000ce,0x0000000000000000000000000000000000000132,13641313
75335610,7,2026-09-07 17:12:00,2026-09-07,system_transfer,Collectible,sample-0003-691459,207,0x00000000000000000000000000000000000000cf,0x0000000000000000000000000000000000000133,13641314
75335611,8,2026-09-07 18:12:00,2026-09-07,market,Comic,sample-0058-494542,208,0x00000000000000000000000000000000000000d0,0x0000000000000000000000000000000000000134,13641315
75335612,9,2026-09-07 19:12:00,2026-09-07,listing,Collectible,sample-0062-342290,209,0x00000000000000000000000000000000000000d1,0x0000000000000000000000000000000000000135,13641316
