element_id,ts_utc,marche,edition,price_usd,price_omi,vendeur,acheteur
sample-0000-582307,2026-08-16 18:47:10,stackr,27090,2.46,12999.0,Spleeky,BigVVLove24
sample-0001-349842,2026-08-27 21:51:45,stackr,6395,14.33,58000.0,Franz2468,ML35
sample-0002-901332,2026-07-16 05:24:04,stackr,542,39.70,250000.0,gonzo686,cryptokeeper22
sample-0003-691459,2026-07-16 00:30:17,stackr,4721,10.32,65000.0,rsarge453,ML35
sample-0004-531147,2026-08-10 12:06:17,stackr,713,2.82,15000.0,mrscoggins,Chavycat5
sample-0005-988773,2026-08-17 18:32:17,stackr,3316,2.80,15000.0,mrscoggins,XPert44
sample-0006-753070,2026-08-12 13:09:48,stackr,1014,3.94,19474.0,keith22465438,BigVVLove24
sample-0007-273142,2026-08-04 18:08:42,stackr,4017,0.70,4000.0,FalconxTV,ShatteredZ
sample-0008-878238,2026-07-29 23:31:41,stackr,2625,0.60,4000.0,brenis28,GG282
sample-0009-625073,2026-07-14 22:04:19,stackr,5145,1.41,8000.0,Franz2468,vsanzluna
sample-0010-289033,2026-07-22 00:20:19,stackr,16161,0.89,5599.0,0xNFT,BenCF
sample-0011-945286,2026-08-09 10:10:43,stackr,6234,2.70,14000.0,0x7c81e3,DiTomazio
sample-0012-655859,2026-08-09 10:08:44,stackr,6065,2.70,14000.0,0x7c81e3,DiTomazio
sample-0013-40573,2026-08-23 22:42:50,stackr,40666,2.58,12000.0,0x7c81e3,Astroboi
sample-0014-625868,2026-07-18 19:16:49,stackr,3849,1.48,9000.0,0xa25604,hliasolympiakos
sample-0015-223608,2026-08-24 16:53:43,stackr,1174,10.97,50000.0,0x79f4e8,Lamouche
sample-0016-809088,2026-08-18 20:25:20,stackr,1090,,6500.0,mrscoggins,spc1204
sample-0017-234985,2026-08-05 04:04:40,stackr,1547,,73999.0,SuperChill,616
sample-0018-295565,2026-08-13 16:20:38,stackr,39310,,4000000.0,toadius2,scotth
sample-0019-22671,2026-07-12 19:55:46,stackr,59615,,3300000.0,cryptorobbery,MrSquibs
sample-0020-494731,2026-07-08 10:19:12,stackr,575,,23000.0,TheAnonymousGuy,agirlhasnoname1879
sample-0021-362902,2026-08-28 16:44:40,veve,23011,2.28,,0x933652,0xb7a606
sample-0022-122053,2026-08-29 05:29:45,veve,541,2.00,,0x71e1e1,0x176af1
sample-0023-71282,2026-08-29 02:24:10,veve,882,2.00,,0x5c351f,0x698c8c
sample-0024-634884,2026-08-29 01:36:01,veve,366,2.00,,0xc17413,0xa90733
sample-0025-606413,2026-08-29 01:19:11,veve,891,2.00,,0x5a3dc6,0x9f4caa
sample-0026-259066,2026-08-28 14:12:49,veve,451,1.70,,0xaa8d06,0xf08844
sample-0027-348113,2026-08-28 16:07:41,veve,554,35.00,,0x6ce16d,0x541495
sample-0028-936839,2026-08-28 20:25:11,veve,557,8.00,,0xdc5334,Mekurabe
sample-0029-249357,2026-08-29 00:31:48,veve,475,12.75,,Pooski,0xe6e9d9
sample-0030-907750,2026-08-28 15:34:20,veve,553,8.50,,SunChardBV,0xb245d3
sample-0031-23496,2026-08-29 03:28:46,veve,6699,1.99,,ramo141,0x9f4caa
sample-0032-858324,2026-08-28 16:06:13,veve,761,2.50,,Aroostic,0xb245d3
sample-0035-94312,2026-08-16 18:47:10,stackr,27090,2.46,12999.0,Spleeky,BigVVLove24
sample-0035-94312,2026-07-16 00:30:17,stackr,4721,10.32,65000.0,rsarge453,ML35
sample-0035-94312,2026-08-12 13:09:48,stackr,1014,3.94,19474.0,keith22465438,BigVVLove24
sample-0035-94312,2026-07-14 22:04:19,stackr,5145,1.41,8000.0,Franz2468,vsanzluna
sample-0035-94312,2026-07-12 20:42:17,stackr,262,9.05,55000.0,Zombi2,newiz
sample-0035-94312,2026-07-17 21:50:53,stackr,689,10.35,65000.0,BACKDOORKICK,comical1
sample-0035-94312,2026-08-02 20:53:16,stackr,873,3.78,22500.0,zollip74,mrscoggins
sample-0035-94312,2026-08-05 04:04:40,stackr,1547,12.54,73999.0,SuperChill,616
sample-0035-94312,2026-07-08 10:19:12,stackr,575,3.70,23000.0,TheAnonymousGuy,agirlhasnoname1879
sample-0035-94312,2026-08-10 11:31:43,stackr,2174,37.54,199999.0,Bignaz,InEcomiWeTrust
sample-0035-94312,2026-07-26 04:29:43,stackr,6953,29.54,190000.0,CaptainLee,InEcomiWeTrust
sample-0035-94312,2026-08-02 11:21:13,stackr,274,5.72,34000.0,drve67,J8SH
