dimension,bucket,wallets,pct_wallets,total,pct_total
quantity,1,53947,27.15,25287030.97,31.23
quantity,2-5,15690,7.9,2514072.74,3.11
quantity,6-20,29912,15.05,7827280.47,9.67
quantity,21-100,29850,15.02,3173368.55,3.92
quantity,101-500,1554,0.78,142209.38,0.18
quantity,501+,67733,34.09,42021840.73,51.9
value_store,<10,40112,16.65,25054716.12,23.09
value_store,10-100,50001,20.75,26626080.71,24.54
value_store,100-1k,88222,36.62,25983029.24,23.95
value_store,1k-10k,10040,4.17,3071543.04,2.83
value_store,10k-100k,37457,15.55,20828793.79,19.2
value_store,100k+,15081,6.26,6947004.43,6.4
value_floor,<10,77551,21.92,6709933.57,5.19
value_floor,10-100,41743,11.8,4102652.46,3.17
value_floor,100-1k,82361,23.28,60939840.08,47.12
value_floor,1k-10k,38372,10.85,1264376.26,0.98
value_floor,10k-100k,50977,14.41,4464969.51,3.45
value_floor,100k+,62804,17.75,51833722.61,40.08
