block,rank,wallet,metric,holdings,distinct,value_store,value_floor,collectorScore,activityStatus
Whale Accumulatrice,1,0xEEEE0161488437dEMO,8880,8880,299,126096.0,111000.0,89.3,actif
Whale Accumulatrice,2,0xEEEE0261488437dEMO,8760,8760,298,124392.0,109500.0,88.6,actif
Whale Accumulatrice,3,0xEEEE0361488437dEMO,8640,8640,297,122688.0,108000.0,87.9,dormant
Whale Accumulatrice,4,0xEEEE0461488437dEMO,8520,8520,296,120984.0,106500.0,87.2,recent
Whale Accumulatrice,5,0xEEEE0561488437dEMO,8400,8400,295,119280.0,105000.0,86.5,actif
Whale Accumulatrice,6,0xEEEE0661488437dEMO,8280,8280,294,117576.0,103500.0,85.8,actif
Whale Accumulatrice,7,0xEEEE0761488437dEMO,8160,8160,293,115872.0,102000.0,85.1,actif
Whale Accumulatrice,8,0xEEEE0861488437dEMO,8040,8040,292,114168.0,100500.0,84.4,recent
Whale Accumulatrice,9,0xEEEE0961488437dEMO,7920,7920,291,112464.0,99000.0,83.7,recent
Whale Accumulatrice,10,0xEEEE1061488437dEMO,7800,7800,290,110760.0,97500.0,83.0,dormant
Whale Accumulatrice,11,0xEEEE1161488437dEMO,7680,7680,289,109056.0,96000.0,82.3,recent
Whale Accumulatrice,12,0xEEEE1261488437dEMO,7560,7560,288,107352.0,94500.0,81.6,actif
Whale Accumulatrice,13,0xEEEE1361488437dEMO,7440,7440,287,105648.0,93000.0,80.9,recent
Whale Accumulatrice,14,0xEEEE1461488437dEMO,7320,7320,286,103944.0,91500.0,80.2,recent
Whale Accumulatrice,15,0xEEEE1561488437dEMO,7200,7200,285,102240.0,90000.0,79.5,recent
Whale Accumulatrice,16,0xEEEE1661488437dEMO,7080,7080,284,100536.0,88500.0,78.8,recent
Whale Accumulatrice,17,0xEEEE1761488437dEMO,6960,6960,283,98832.0,87000.0,78.1,recent
Whale Accumulatrice,18,0xEEEE1861488437dEMO,6840,6840,282,97128.0,85500.0,77.4,dormant
Whale Accumulatrice,19,0xEEEE1961488437dEMO,6720,6720,281,95424.0,84000.0,76.7,dormant
Whale Accumulatrice,20,0xEEEE2061488437dEMO,6600,6600,280,93720.0,82500.0,76.0,dormant
Whale Valeur Floor,1,0xEEEE0107216370dEMO,111000.0,8880,299,126096.0,111000.0,89.3,recent
Whale Valeur Floor,2,0xEEEE0207216370dEMO,109500.0,8760,298,124392.0,109500.0,88.6,dormant
Whale Valeur Floor,3,0xEEEE0307216370dEMO,108000.0,8640,297,122688.0,108000.0,87.9,recent
Whale Valeur Floor,4,0xEEEE0407216370dEMO,106500.0,8520,296,120984.0,106500.0,87.2,recent
Whale Valeur Floor,5,0xEEEE0507216370dEMO,105000.0,8400,295,119280.0,105000.0,86.5,actif
Whale Valeur Floor,6,0xEEEE0607216370dEMO,103500.0,8280,294,117576.0,103500.0,85.8,actif
Whale Valeur Floor,7,0xEEEE0707216370dEMO,102000.0,8160,293,115872.0,102000.0,85.1,dormant
Whale Valeur Floor,8,0xEEEE0807216370dEMO,100500.0,8040,292,114168.0,100500.0,84.4,dormant
Whale Valeur Floor,9,0xEEEE0907216370dEMO,99000.0,7920,291,112464.0,99000.0,83.7,recent
Whale Valeur Floor,10,0xEEEE1007216370dEMO,97500.0,7800,290,110760.0,97500.0,83.0,recent
Whale Valeur Floor,11,0xEEEE1107216370dEMO,96000.0,7680,289,109056.0,96000.0,82.3,dormant
Whale Valeur Floor,12,0xEEEE1207216370dEMO,94500.0,7560,288,107352.0,94500.0,81.6,recent
Whale Valeur Floor,13,0xEEEE1307216370dEMO,93000.0,7440,287,105648.0,93000.0,80.9,recent
Whale Valeur Floor,14,0xEEEE1407216370dEMO,91500.0,7320,286,103944.0,91500.0,80.2,actif
Whale Valeur Floor,15,0xEEEE1507216370dEMO,90000.0,7200,285,102240.0,90000.0,79.5,dormant
Whale Valeur Floor,16,0xEEEE1607216370dEMO,88500.0,7080,284,100536.0,88500.0,78.8,actif
Whale Valeur Floor,17,0xEEEE1707216370dEMO,87000.0,6960,283,98832.0,87000.0,78.1,actif
Whale Valeur Floor,18,0xEEEE1807216370dEMO,85500.0,6840,282,97128.0,85500.0,77.4,actif
Whale Valeur Floor,19,0xEEEE1907216370dEMO,84000.0,6720,281,95424.0,84000.0,76.7,actif
Whale Valeur Floor,20,0xEEEE2007216370dEMO,82500.0,6600,280,93720.0,82500.0,76.0,recent
Whale Valeur Store,1,0xEEEE0183323188dEMO,111000.0,8880,299,126096.0,111000.0,89.3,recent
Whale Valeur Store,2,0xEEEE0283323188dEMO,109500.0,8760,298,124392.0,109500.0,88.6,recent
Whale Valeur Store,3,0xEEEE0383323188dEMO,108000.0,8640,297,122688.0,108000.0,87.9,recent
Whale Valeur Store,4,0xEEEE0483323188dEMO,106500.0,8520,296,120984.0,106500.0,87.2,recent
Whale Valeur Store,5,0xEEEE0583323188dEMO,105000.0,8400,295,119280.0,105000.0,86.5,dormant
Whale Valeur Store,6,0xEEEE0683323188dEMO,103500.0,8280,294,117576.0,103500.0,85.8,dormant
Whale Valeur Store,7,0xEEEE0783323188dEMO,102000.0,8160,293,115872.0,102000.0,85.1,recent
Whale Valeur Store,8,0xEEEE0883323188dEMO,100500.0,8040,292,114168.0,100500.0,84.4,actif
Whale Valeur Store,9,0xEEEE0983323188dEMO,99000.0,7920,291,112464.0,99000.0,83.7,dormant
Whale Valeur Store,10,0xEEEE1083323188dEMO,97500.0,7800,290,110760.0,97500.0,83.0,actif
Whale Valeur Store,11,0xEEEE1183323188dEMO,96000.0,7680,289,109056.0,96000.0,82.3,dormant
Whale Valeur Store,12,0xEEEE1283323188dEMO,94500.0,7560,288,107352.0,94500.0,81.6,dormant
Whale Valeur Store,13,0xEEEE1383323188dEMO,93000.0,7440,287,105648.0,93000.0,80.9,actif
Whale Valeur Store,14,0xEEEE1483323188dEMO,91500.0,7320,286,103944.0,91500.0,80.2,actif
Whale Valeur Store,15,0xEEEE1583323188dEMO,90000.0,7200,285,102240.0,90000.0,79.5,recent
Whale Valeur Store,16,0xEEEE1683323188dEMO,88500.0,7080,284,100536.0,88500.0,78.8,recent
Whale Valeur Store,17,0xEEEE1783323188dEMO,87000.0,6960,283,98832.0,87000.0,78.1,actif
Whale Valeur Store,18,0xEEEE1883323188dEMO,85500.0,6840,282,97128.0,85500.0,77.4,dormant
Whale Valeur Store,19,0xEEEE1983323188dEMO,84000.0,6720,281,95424.0,84000.0,76.7,actif
Whale Valeur Store,20,0xEEEE2083323188dEMO,82500.0,6600,280,93720.0,82500.0,76.0,recent
